,epoch,val_loss
0,0.0,0.08046934753656387
1,1.0,0.07545460015535355
2,2.0,0.07803138345479965
3,3.0,0.07929472625255585
4,4.0,0.07830457389354706
5,5.0,0.07952605932950974
6,6.0,0.07795143872499466
7,7.0,0.07882431894540787
8,8.0,0.07780594378709793
9,9.0,0.07906053215265274
10,10.0,0.07953207939863205
11,11.0,0.07778660953044891
12,12.0,0.07957910001277924
13,13.0,0.07725518196821213
14,14.0,0.07790166884660721
15,15.0,0.07782778888940811
16,16.0,0.07871656864881516
17,17.0,0.07716275006532669
18,18.0,0.0770631805062294
19,19.0,0.0766303688287735
20,20.0,0.07997119426727295
21,21.0,0.07837159931659698
22,22.0,0.07771407812833786
23,23.0,0.07934652268886566
24,24.0,0.07690446078777313
25,25.0,0.07885505259037018
26,26.0,0.0768912211060524
27,27.0,0.07766787707805634
28,28.0,0.0797530934214592
29,29.0,0.07765384018421173
30,30.0,0.07719029486179352
31,31.0,0.0781053751707077
32,32.0,0.07821068167686462
33,33.0,0.0795738697052002
34,34.0,0.07953999191522598
35,35.0,0.0770796537399292
36,36.0,0.07776747643947601
37,37.0,0.07825543731451035
38,38.0,0.07647383213043213
39,39.0,0.07899526506662369
40,40.0,0.07679752260446548
41,41.0,0.07830213010311127
42,42.0,0.07734402269124985
43,43.0,0.07817543298006058
44,44.0,0.07792235910892487
45,45.0,0.0784202441573143
46,46.0,0.07636251300573349
47,47.0,0.07866284996271133
48,48.0,0.07581955939531326
49,49.0,0.07666465640068054
